Google Position,CTR,Source
1,0.364,Optify
2,0.125,Optify
3,0.095,Optify
4,0.079,Optify
5,0.061,Optify
6,0.041,Optify
7,0.038,Optify
8,0.035,Optify
9,0.03,Optify
10,0.022,Optify
11,0.026,Optify
12,0.015,Optify
13,0.013,Optify
14,0.011,Optify
15,0.012,Optify
16,0.012,Optify
17,0.014,Optify
18,0.013,Optify
19,0.014,Optify
20,0.014,Optify
1,0.182,Slingshot
2,0.1005,Slingshot
3,0.0722,Slingshot
4,0.0481,Slingshot
5,0.0309,Slingshot
6,0.0276,Slingshot
7,0.0188,Slingshot
8,0.0175,Slingshot
9,0.0152,Slingshot
10,0.0104,Slingshot
