date_time,semrush_traffic,ga_traffic,site
4/1/2016,67060,61853,a.com
5/1/2016,85660,62007,a.com
6/1/2016,51960,63482,a.com
7/1/2016,50360,65621,a.com
8/1/2016,43860,64002,a.com
9/1/2016,55860,59565,a.com
10/1/2016,134660,62661,a.com
11/1/2016,208240,57262,a.com
12/1/2016,182340,54801,a.com
1/1/2017,181640,67527,a.com
2/1/2017,172140,60553,a.com
3/1/2017,164240,79493,a.com
4/1/2017,240840,76200,a.com
5/1/2017,208540,80078,a.com
6/1/2017,272440,82046,a.com
7/1/2017,191640,85796,a.com
3/1/2017,11910,28463,b.com
4/1/2017,8410,18215,b.com
5/1/2017,11630,14492,b.com
6/1/2017,16930,18286,b.com
7/1/2017,5800,18161,b.com
4/1/2016,46250,135154,c.com
5/1/2016,35450,122849,c.com
6/1/2016,28550,123245,c.com
7/1/2016,35850,124777,c.com
8/1/2016,49450,152040,c.com
9/1/2016,38750,155523,c.com
10/1/2016,177050,266000,c.com
11/1/2016,174650,285669,c.com
12/1/2016,93940,229892,c.com
1/1/2017,71740,180043,c.com
2/1/2017,80840,138017,c.com
3/1/2017,59340,163275,c.com
4/1/2017,63140,142834,c.com
5/1/2017,68240,154131,c.com
6/1/2017,81240,153128,c.com
7/1/2017,76340,163298,c.com
